Title,Price,Date,stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
Apple iPhone 14 (128 GB) - Midnight,"71,999
                               
                                .",2023-04-16,In stock
